"id","title","sort"
"1","Dėžutė",1
"2","Maišas",2
"3","Paletė",3
"4","Skardinė",4
"5","Stiklainis",5
"6","Statinė",6
"7","Butelis",7
"8","Cisterna",8
"9","Konteineris",9
"10","Kita",10
